start,end,duration,start,end,duration
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
